,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
147076,라쿵푸마라탕,음식,중식,Q02A00,중국음식/중국집,부산광역시 금정구 금정로68번길 12-4,129.087117426997,35.2303708298373
148797,원참가자미회집,음식,일식/수산물,Q03A01,횟집,부산광역시 금정구 금정로237번길 16,129.09173646495898,35.2463287049567
149054,도시야식,음식,음식배달서비스,Q13A01,야식집,부산광역시 금정구 금정로91번길 20,129.08591247772898,35.233103809885606
149175,담양갈비장전래미안점,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금정로 3,129.085353235305,35.2249333153987
149204,메이드,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로60번길 9,129.087023181348,35.2298939453708
150259,BBQ치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로 92,129.087115735293,35.2327144298569
150524,오야지스시,음식,일식/수산물,Q03A03,음식점-초밥전문,부산광역시 금정구 금정로52번길 39,129.088316457222,35.2288457385858
150827,역전할머니맥주,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금정로231번길 29,129.089191395918,35.2449905589759
151098,명륜진사갈비,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금정로185번길 30,129.08674489018,35.2419749118243
152199,통영생선구이,음식,일식/수산물,Q03A11,갈치/생선구이,부산광역시 금정구 금정로231번길 5,129.090417265947,35.24463699695
152402,하대승담양갈비,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금정로 3,129.085353235305,35.2249333153987
152412,중식대사관,음식,중식,Q02A00,중국음식/중국집,부산광역시 금정구 금정로 198,129.088744788918,35.241992992550394
152503,고피자,음식,패스트푸드,Q07A01,피자전문,부산광역시 금정구 금정로 20,129.086807484009,35.2277235583279
152684,수제돈까스연승,음식,양식,Q06A02,돈가스전문점,부산광역시 금정구 금정로 17,129.085601175194,35.2262290790215
153044,일,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로233번길 55,129.09092383438602,35.247183326676705
